OBJECTID	NAMOBJ	REMARK	x	y
1901	NA	Puskesmas/Puskesmas Pembantu	127.982901666	1.63111236399999
1902	NA	Puskesmas/Puskesmas Pembantu	127.972343613	1.605435048
1903	NA	Puskesmas/Puskesmas Pembantu	127.945818976	1.56755614000002
1904	NA	Puskesmas/Puskesmas Pembantu	127.92436789	1.52281444800002
1905	NA	Puskesmas/Puskesmas Pembantu	127.961949248	1.50177446599997
1906	NA	Puskesmas/Puskesmas Pembantu	127.998354005	1.59645371699997
1907	NA	Puskesmas/Puskesmas Pembantu	127.594749494	1.53798116000002
1908	NA	Puskesmas/Puskesmas Pembantu	127.518100285	1.68477966699999
1909	NA	Puskesmas/Puskesmas Pembantu	127.56970867	1.70780030399999
1910	NA	Puskesmas/Puskesmas Pembantu	127.584850589	1.67436516399999
1911	NA	Puskesmas/Puskesmas Pembantu	127.601688945	1.693777834
1912	NA	Puskesmas/Puskesmas Pembantu	128.743404666	1.33793699400002
1913	NA	Puskesmas/Puskesmas Pembantu	128.6908358	1.109164921
1914	NA	Puskesmas/Puskesmas Pembantu	128.622469798	1.046858719
1915	NA	Puskesmas/Puskesmas Pembantu	128.593605277	1.077253187
1916	NA	Puskesmas/Puskesmas Pembantu	128.12092689	1.29159310300003
1917	NA	Puskesmas/Puskesmas Pembantu	128.119948446	1.28797428399997
1918	NA	Puskesmas/Puskesmas Pembantu	128.115790785	1.250467351
1919	NA	Puskesmas/Puskesmas Pembantu	128.011843348	1.28753638900002
1920	NA	Puskesmas/Puskesmas Pembantu	128.174527849	1.24613531799997
1921	NA	Puskesmas/Puskesmas Pembantu	128.216152081	1.14781350300001
1922	NA	Puskesmas/Puskesmas Pembantu	128.23382426	1.13899801999997
1923	NA	Puskesmas/Puskesmas Pembantu	128.205912334	1.12507704699999
1924	NA	Puskesmas/Puskesmas Pembantu	128.189553332	1.09798769000002
1925	NA	Puskesmas/Puskesmas Pembantu	128.131723451	1.08353355700001
1926	NA	Puskesmas/Puskesmas Pembantu	127.855213311	1.26050595499999
1927	NA	Puskesmas/Puskesmas Pembantu	127.791962984	1.35410451799999
1928	NA	Puskesmas/Puskesmas Pembantu	127.803950704	1.392815251
1929	NA	Puskesmas/Puskesmas Pembantu	127.840713207	1.366556855
1930	NA	Puskesmas/Puskesmas Pembantu	127.917502859	1.48217802900001
1931	NA	Puskesmas/Puskesmas Pembantu	127.523259625	1.42558513699998
1932	NA	Puskesmas/Puskesmas Pembantu	127.533200871	1.43635422099999
1933	NA	Puskesmas/Puskesmas Pembantu	127.547217325	1.49624574299997
1934	NA	Puskesmas/Puskesmas Pembantu	127.568989114	1.48782170499999
1935	NA	Puskesmas/Puskesmas Pembantu	127.969597832	1.05155071199999
1936	NA	Puskesmas/Puskesmas Pembantu	127.981346107	1.07131071600003
1937	NA	Puskesmas/Puskesmas Pembantu	127.774125088	1.09302420500001
1938	NA	Puskesmas/Puskesmas Pembantu	127.825296697	1.15274420700001
1939	NA	Puskesmas/Puskesmas Pembantu	127.83356259	1.15726127699998
1940	NA	Puskesmas/Puskesmas Pembantu	127.868085646	1.18965824399999
1941	NA	Puskesmas/Puskesmas Pembantu	127.901201503	1.169518117
1942	NA	Puskesmas/Puskesmas Pembantu	127.920248117	1.23007719100002
1943	NA	Puskesmas/Puskesmas Pembantu	127.537967802	1.23164855499999
1944	NA	Puskesmas/Puskesmas Pembantu	127.70409658	1.04830349299999
1945	NA	Puskesmas/Puskesmas Pembantu	127.696419116	1.05671206800002
1946	NA	Puskesmas/Puskesmas Pembantu	127.704926351	1.062612962
1947	NA	Puskesmas/Puskesmas Pembantu	128.521725337	0.972659740999973
1948	NA	Puskesmas/Puskesmas Pembantu	128.29205822	0.879194929999983
1949	NA	Puskesmas/Puskesmas Pembantu	128.474152323	0.980315345999998
1950	NA	Puskesmas/Puskesmas Pembantu	128.240878674	0.824354004999975
1951	NA	Puskesmas/Puskesmas Pembantu	127.814790071	0.764350999999976
1952	NA	Puskesmas/Puskesmas Pembantu	127.842834259	0.797329327999989
1953	NA	Puskesmas/Puskesmas Pembantu	127.933084124	0.880619681999974
1954	NA	Puskesmas/Puskesmas Pembantu	127.935600078	0.971629386000018
1955	NA	Puskesmas/Puskesmas Pembantu	127.746710297	0.813347039000007
1956	NA	Puskesmas/Puskesmas Pembantu	127.69833015	0.87566033600001
1957	NA	Puskesmas/Puskesmas Pembantu	127.684051866	0.876903512000013
1958	NA	Puskesmas/Puskesmas Pembantu	127.661016882	0.867018359999975
1959	NA	Puskesmas/Puskesmas Pembantu	127.643858052	0.778201862999992
